algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.0904,9545,8
QuickSort,random,1000,0.1378,10842,6
QuickSelect,random,1000,0.2046,4129,1
MergeSort,sorted,1000,0.0433,4236,8
QuickSort,sorted,1000,0.0558,10717,6
QuickSelect,sorted,1000,0.1427,3162,1
MergeSort,duplicates,1000,0.0734,9177,8
QuickSort,duplicates,1000,0.0322,3648,2
QuickSelect,duplicates,1000,0.0228,2324,1
MergeSort,random,10000,1.5265,127195,11
QuickSort,random,10000,0.8769,160578,8
QuickSelect,random,10000,0.5810,40300,1
MergeSort,sorted,10000,0.3343,59248,11
QuickSort,sorted,10000,0.6638,158718,9
QuickSelect,sorted,10000,0.4756,41796,1
MergeSort,duplicates,10000,0.7007,121450,11
QuickSort,duplicates,10000,0.1380,34157,2
QuickSelect,duplicates,10000,0.1285,32030,1
MergeSort,random,100000,9.1276,1639435,14
QuickSort,random,100000,8.2538,1989653,11
QuickSelect,random,100000,1.1469,488732,1
MergeSort,sorted,100000,1.7637,744016,14
QuickSort,sorted,100000,4.9261,2036950,10
QuickSelect,sorted,100000,0.4620,323807,1
MergeSort,duplicates,100000,3.9467,1561658,14
QuickSort,duplicates,100000,1.2253,369862,2
QuickSelect,duplicates,100000,0.9726,279437,1
MergeSort,random,1000000,90.0799,19890183,18
QuickSort,random,1000000,84.4741,24632324,13
QuickSelect,random,1000000,10.0514,3346668,1
MergeSort,sorted,1000000,22.0239,9071040,18
QuickSort,sorted,1000000,47.9132,24694931,13
QuickSelect,sorted,1000000,4.0303,3416052,1
MergeSort,duplicates,1000000,40.0174,18921497,18
QuickSort,duplicates,1000000,10.7069,3099618,2
QuickSelect,duplicates,1000000,6.7364,2602291,1
